取引価格（総額）,面積（㎡）,最寄駅：距離（分）,建築年,築年数,市区町村コード
64000000,65,3,1979,46,33
24000000,20,3,2001,24,33
50000000,60,4,1979,46,33
150000000,70,6,2005,20,33
65000000,55,4,1978,47,33
140000000,60,4,2023,2,33
160000000,75,1,2017,8,33
70000000,65,7,1977,48,33
83000000,65,3,1981,44,33
240000000,105,2,2004,21,33
58000000,50,5,1978,47,33
56000000,35,7,2017,8,33
130000000,60,6,2019,6,33
34000000,20,4,2005,20,33
26000000,30,8,1981,44,33
68000000,40,5,2017,8,33
240000000,85,8,2021,4,33
160000000,60,5,2009,16,33
72000000,75,6,1974,51,33
120000000,60,6,2018,7,33
68000000,35,7,2023,2,33
230000000,70,3,2010,15,33
180000000,65,5,2009,16,33
180000000,80,6,2018,7,33
48000000,30,5,2017,8,33
200000000,80,8,2021,4,33
83000000,65,10,1985,40,33
130000000,65,8,2012,13,33
36000000,40,3,1972,53,33
25000000,25,5,2008,17,33
110000000,75,5,1998,27,33
67000000,40,3,2005,20,33
130000000,55,7,2023,2,33
250000000,80,5,2009,16,33
240000000,65,3,2010,15,33
35000000,45,9,1970,55,33
30000000,20,10,2002,23,33
70000000,60,8,1978,47,33
93000000,65,9,1997,28,33
290000000,100,9,2002,23,33
64000000,45,3,2001,24,33
140000000,60,6,2013,12,33
79000000,40,3,2012,13,33
17000000,20,3,1979,46,33
32000000,35,2,1980,45,33
25000000,30,4,1977,48,33
230000000,85,8,2009,16,33
24000000,30,8,1978,47,33
25000000,30,15,1979,46,33
19000000,25,3,1977,48,33
67000000,35,5,1998,27,33
160000000,75,4,1998,27,33
230000000,70,4,2019,6,33
23000000,25,3,1979,46,33
85000000,50,1,2005,20,33
100000000,65,1,1981,44,33
100000000,55,3,1997,28,33
75000000,35,1,2005,20,33
130000000,55,3,2000,25,33
27000000,20,1,2001,24,33
220000000,85,6,2013,12,33
93000000,75,9,2003,22,33
85000000,50,11,2023,2,33
40000000,50,10,1982,43,33
160000000,85,10,2015,10,33
15000000,25,10,1980,45,33
150000000,85,9,2007,18,33
100000000,60,9,2014,11,33
140000000,70,10,2015,10,33
42000000,50,9,1979,46,33
170000000,70,8,2021,4,33
160000000,90,8,2007,18,33
68000000,65,5,1978,47,33
45000000,55,10,2014,11,33
58000000,60,9,1982,43,33
21000000,30,9,1977,48,33
53000000,70,9,1979,46,33
81000000,55,9,2006,19,33
140000000,75,10,2015,10,33
140000000,65,10,2015,10,33
140000000,65,10,2015,10,33
78000000,55,9,2014,11,33
85000000,50,10,2015,10,33
90000000,55,8,2006,19,33
170000000,80,11,2023,2,33
150000000,65,11,2023,2,33
90000000,45,9,2021,4,33
110000000,60,10,2015,10,33
210000000,85,10,2015,10,33
160000000,70,10,2015,10,33
54000000,55,10,1982,43,33
170000000,95,14,2006,19,33
41000000,60,11,1979,46,33
150000000,55,8,2021,4,33
110000000,75,12,2006,19,33
140000000,90,8,2007,18,33
24000000,25,7,2002,23,33
180000000,70,11,2023,2,33
110000000,65,9,2016,9,33
42000000,35,4,1999,26,33
55000000,70,4,1981,44,33
33000000,30,3,2014,11,33
78000000,45,6,2012,13,33
40000000,30,6,2012,13,33
40000000,30,11,2012,13,33
140000000,80,12,2014,11,33
59000000,50,7,1980,45,33
16000000,20,8,1976,49,33
11000000,40,10,1963,62,33
110000000,60,9,1999,26,33
24000000,35,8,1963,62,33
72000000,50,5,1983,42,33
20000000,25,3,1978,47,33
20000000,25,2,1978,47,33
43000000,30,1,2003,22,33
210000000,70,7,2009,16,33
240000000,70,4,2008,17,33
31000000,20,7,1983,42,33
74000000,45,5,1998,27,33
27000000,20,1,2001,24,33
40000000,25,1,2008,17,33
29000000,20,10,2006,19,33
54000000,25,13,2007,18,33
83000000,55,11,2011,14,33
310000000,90,2,2023,2,33
71000000,55,2,2000,25,33
72000000,55,2,2000,25,33
87000000,50,13,2015,10,33
130000000,65,13,2015,10,33
97000000,55,13,2000,25,33
170000000,65,7,2003,22,33
51000000,45,15,2008,17,33
86000000,55,6,2005,20,33
120000000,80,6,2005,20,33
40000000,25,3,2018,7,33
110000000,55,3,2004,21,33
44000000,25,7,2015,10,33
57000000,30,5,2011,14,33
26000000,20,4,2014,11,33
23000000,25,2,1980,45,33
38000000,25,3,2015,10,33
24000000,20,5,2006,19,33
43000000,40,9,1982,43,33
190000000,95,8,2006,19,33
630000000,165,12,2023,2,33
90000000,50,6,2014,11,33
130000000,85,8,2006,19,33
98000000,95,8,2006,19,33
71000000,40,12,2023,2,33
200000000,95,8,2006,19,33
26000000,20,9,2002,23,33
230000000,100,14,2006,19,33
13000000,15,10,1980,45,33
89000000,45,8,2006,19,33
90000000,50,8,2006,19,33
130000000,65,10,2021,4,33
28000000,20,7,2003,22,33
36000000,20,4,2008,17,33
120000000,60,3,2021,4,33
240000000,110,3,2001,24,33
190000000,100,8,1998,27,33
170000000,70,6,2005,20,33
120000000,65,4,2000,25,33
16000000,20,7,1971,54,33
43000000,35,8,1982,43,33
160000000,80,10,2008,17,33
60000000,40,10,2006,19,33
33000000,20,4,2006,19,33
39000000,25,4,2013,12,33
41000000,25,6,2020,5,33
90000000,35,7,2022,3,33
82000000,30,1,1971,54,33
180000000,55,1,2021,4,33
30000000,20,8,2003,22,33
37000000,20,6,2016,9,33
27000000,25,3,1999,26,33
33000000,30,3,1969,56,33
36000000,25,3,1971,54,33
30000000,20,1,2003,22,33
140000000,60,7,2005,20,33
150000000,80,4,2003,22,33
120000000,55,4,2012,13,33
94000000,45,4,2007,18,33
130000000,65,12,2014,11,33
140000000,75,12,2014,11,33
88000000,50,5,1999,26,33
27000000,20,6,2000,25,33
34000000,25,4,2004,21,33
37000000,20,8,2003,22,33
31000000,20,10,2006,19,33
130000000,55,6,2019,6,33
70000000,30,4,2019,6,33
26000000,20,4,2002,23,33
29000000,20,5,2005,20,33
33000000,20,3,2006,19,33
14000000,15,7,1980,45,33
100000000,55,1,2018,7,33
23000000,20,2,2002,23,33
110000000,50,6,2014,11,33
27000000,35,7,1970,55,33
120000000,50,8,2021,4,33
160000000,75,4,1998,27,33
25000000,20,5,2008,17,33
310000000,80,3,2018,7,33
43000000,30,1,1980,45,33
41000000,30,11,2003,22,33
320000000,130,3,1984,41,33
40000000,35,4,1998,27,33
82000000,60,7,1997,28,33
84000000,50,3,1999,26,33
44000000,45,5,1982,43,33
190000000,80,6,1996,29,33
170000000,110,5,2009,16,19
120000000,70,7,2021,4,19
160000000,95,5,2012,13,19
350000000,155,3,2018,7,19
