Actual Price,Predicted Price
60000000,68910000
32000000,26082000
70000000,80340000
97000000,87866861
72000000,72594000
55000000,43556023
83000000,69010000
87000000,58690000
49000000,48910000
75000000,105010000
47000000,39580000
65000000,59470000
110000000,93486666
45000000,40690000
25000000,26867500
41000000,39380000
34000000,44632500
25000000,30472000
24000000,28015000
